"age" "gender" "belgian" "degree" "startdate" "months" "phd" "years" "totdfte" "meandfte" "level" "class" "faculty"
24 "M" "B" 7 34790 NA "N" NA 2.25 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
24 "W" "B" 8 36800 NA "N" NA 3.75 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "PP"
25 "M" "B" 7 35034 NA "N" NA 2.37 0.95 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
21 "M" "B" 8 36800 NA "N" NA 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
24 "M" "B" 7 36465 NA "N" NA 0.08 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
37 "M" "O" 5 37622 5 "Y" 0 0.25 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LA"
22 "W" "B" 7 36373 NA "N" NA 1.58 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "EB"
28 "M" "B" 6 34486 NA "N" NA 0.46 0.5 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "RE"
27 "M" "B" 7 35765 NA "N" NA 2 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
29 "M" "O" 8 36342 NA "N" NA 4.17 1 "doctoraatsbursaal" "7a) Andere juniorstatuten (bursalen)" "LW"
24 "W" "B" 5 36192 NA "N" NA 0.41 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
23 "M" "B" 8 36373 NA "N" NA 4.42 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
23 "M" "B" 8 34973 NA "N" NA 2.58 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
39 "W" "B" 8 35065 NA "N" NA 7.83 0.89 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
24 "M" "B" 7 34090 NA "N" NA 6.51 1 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "LA"
29 "M" "B" 8 37165 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "GE"
44 "M" "B" 5 35704 NA "N" NA 0.67 0.1 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "PP"
24 "M" "B" 7 35674 NA "N" NA 4.08 0.78 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "RE"
23 "M" "B" 8 37257 NA "N" NA 3 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LA"
24 "M" "B" 8 33482 62 "Y" 5 NA NA "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
23 "M" "B" 9 37165 NA "N" NA 2 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "WE"
22 "W" "B" 9 34731 NA "N" NA 1.25 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
26 "W" "B" 9 34608 81 "Y" 7 5.48 0.81 "assistent" "1a) Bezoldigd AAP" "GE"
25 "M" "B" 5 37165 NA "N" NA 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "TW"
24 "M" "B" 9 33512 77 "Y" 6 5.75 1 "IWONL-bursaal" "3 ) IWT-bursalen" "WE"
32 "M" "B" 8 33878 NA "N" NA NA NA "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
23 "M" "B" 9 36770 NA "N" NA 4 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
27 "M" "B" 7 37196 NA "N" NA 0.27 0.2 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
25 "W" "B" 7 35339 NA "N" NA 1 0.5 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "RE"
24 "M" "B" 7 35521 NA "N" NA 0.25 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
23 "W" "B" 8 36069 NA "N" NA 2.41 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "LA"
23 "W" "B" 7 37530 NA "N" NA 2 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "DI"
24 "M" "B" 7 34608 85 "Y" 7 7 1 "assistent" "1a) Bezoldigd AAP" "TW"
26 "M" "B" 8 35186 NA "N" NA NA NA "wetenschappelijk medewerker" "11) Onbekend" "EB"
23 "M" "B" 9 37530 NA "N" NA 2 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "TW"
23 "W" "B" 7 37165 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "EB"
36 "W" "B" 7 37530 NA "N" NA 1.04 0.5 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "LW"
25 "M" "B" 8 34335 34 "Y" 3 0.91 1 "assistent" "1a) Bezoldigd AAP" "LA"
29 "M" "B" 9 37165 NA "N" NA 1.46 0.8 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
25 "M" "B" 5 35704 NA "N" NA 1 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
22 "M" "B" 8 36039 61 "Y" 5 4.99 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "TW"
22 "W" "B" 7 36557 NA "N" NA 0.92 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
22 "M" "B" 8 33573 70 "Y" 6 4.93 0.84 "assistent" "1a) Bezoldigd AAP" "GE"
27 "M" "B" 7 36586 NA "N" NA 0.5 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
24 "M" "B" 7 37469 NA "N" NA 0.3 0.2 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
